attempt,best_program,program_score,iterations,time_seconds
88,"indexof_cvc(contains_cvc(_arg_1, """"), concat_cvc(""_"", "" ""), 1 + _arg_2)",0.0,10000,0.11804389953613281
89,"indexof_cvc(contains_cvc("""", _arg_1), prefixof_cvc(""_"", "" ""), 1 - _arg_2)",0.0,10000,0.10304403305053711
90,"indexof_cvc(contains_cvc("""", ""_""), suffixof_cvc(""_"", "" ""), 1 == _arg_2)",0.0,10000,0.1227121353149414
91,"indexof_cvc(contains_cvc("" "", "" ""), contains_cvc(""_"", ""_""), 1 + _arg_2)",0.0,10000,0.11877298355102539
92,"indexof_cvc(contains_cvc(""_"", "" ""), concat_cvc(""_"", ""_""), 1 - _arg_2)",0.0,10000,0.10095906257629395
93,"indexof_cvc(concat_cvc(_arg_1, _arg_1), at_cvc(""_"", 1), _arg_2 + _arg_2)",0.3333333333333333,10000,0.11110806465148926
94,"indexof_cvc(concat_cvc(_arg_1, ""_""), at_cvc(""_"", 1), _arg_2 + _arg_2)",0.3333333333333333,10000,0.0883491039276123
95,"indexof_cvc(prefixof_cvc(_arg_1, _arg_1), at_cvc(_arg_1, _arg_2), 1 - _arg_2)",0.0,10000,0.08762001991271973
96,"indexof_cvc(prefixof_cvc(""_"", """"), at_cvc(_arg_1, _arg_2), 1 == _arg_2)",0.0,10000,0.10043597221374512
97,"indexof_cvc(suffixof_cvc("" "", "" ""), at_cvc(_arg_1, 1), 1 + _arg_2)",0.0,10000,0.10284209251403809
98,"indexof_cvc(if true
        _arg_1
    else
        _arg_1
    end, if true
        ""_""
    else
        _arg_1
    end, _arg_2)",0.3333333333333333,10000,0.08828401565551758
99,"indexof_cvc(if false
        "" ""
    else
        _arg_1
    end, if false
        """"
    else
        ""_""
    end, _arg_2)",0.3333333333333333,10000,0.11193203926086426
100,"indexof_cvc(if false
        """"
    else
        _arg_1
    end, concat_cvc("""", ""_""), len_cvc(""""))",0.3333333333333333,10000,0.10143613815307617
-1,"indexof_cvc(_arg_1, ""_"", _arg_2)",0.3333333333333333,-1,9.25792908668518
-2,Timed out: false,-1.0,-1,0.0
